topic,side,content
Should medical research embrace racial differences in treatment efficacy?,con,"11
Clinical trials rarely enroll sufficient numbers of people of color. If pharmaceutical companies embraced racial differences in treatment efficacy they would be able to collect more data concerning how different racial groups are affected by different types of treatment."
Should medical research embrace racial differences in treatment efficacy?,pro,"17
'Personalized medicine' is a superior approach to race based medicine, and renders race based approaches moot."
Should medical research embrace racial differences in treatment efficacy?,pro,"23
Searching for innate racial differences between patients can distract doctors and researchers from other, more important differences (like socioeconomic status), which cause far more medical problems than race, and whose overlap with race is largely (medically) coincidental."
Is Islam compatible with feminism?,pro,"8
The teachings of Islam promote gender equality (p. 3)."
Is Islam compatible with feminism?,pro,"25
Islamic religious doctrine promotes anti-LGBTQ+ beliefs, which are incompatible with the feminist goal of the liberation of marginalized people."
Is Islam compatible with feminism?,pro,"14
Islamic marriage practices and family dynamics reinforce inequality against women.
 Unsupported
This claim is heavily unbalanced in favor of pros. It would be good to add at least another con and develop that side further."
Should Turkey acknowledge the Armenian genocide?,con,Acknowledging the Armenian genocide would have numerous economic benefits for Turkey and the surrounding region.
Should Turkey acknowledge the Armenian genocide?,pro,Acknowledging the genocide would improve Turkey's international standing.
Should men be allowed to vote on abortion legislation?,pro,"15
Excluding anyone from the voting process undermines the principle of democratic equality."
Should men be allowed to vote on abortion legislation?,pro,"1
In most countries, people can't or usually can't vote on any specific legislation and instead can only participate in electoral processes. The question whether men should be allowed to vote on abortion legislation therefore is essentially mute."
Is Jesus the Messiah?,pro,"7
Jesus is the promised Messiah of the ancient Hebrew religion."
Is Jesus the Messiah?,pro,"13
Jesus fulfilled all prophecies concerning the Jewish Messiah."
Is Jesus the Messiah?,pro,"2
Jesus' impact on the world demonstrates that he is the promised Messiah of the ancient Hebrew religion."
Is Jesus the Messiah?,pro,"5
The Book of Mormon also claims that Jesus is the Promised Messiah."
Is Jesus the Messiah?,pro,"11
Credible modern eyewitnesses have claimed visitations from Jesus, the son of Mary, in a modern era that if true, proves that Jesus is the promised Messiah spoken of in the Old Testament."
Is Jesus the Messiah?,pro,"6
Jesus is proposed to be a demigod and therefore not the messiah of the ancient Hebrew religion."
Should Laptops be Allowed in University Classrooms?,pro,Laptops improve the learning process.
Should We Increase the Number of Votes For People Who Pay More Taxes?,pro,Wealthy people are less likely to evade and avoid taxes if they have more votes in proportion to their taxed income or wealth.
Should We Increase the Number of Votes For People Who Pay More Taxes?,con,Giving more political power to those who pay higher taxes would entrench the socioeconomic class divide in society.
Should failing banks receive bailouts from the government?,con,Failing banks represent a large threat to the security of the economy and must be rescued for everyone's benefit.
Should Teachers Be Allowed To Wear Religious Symbols At School?,con,"Since all states are secular, even in countries where the majority of the population is Christian, like in my country where schools were forced to remove Christian symbols, so all symbols should not be tolerated either. But this concern seems to only exist in the EU, because in non-Christian countries this issue does not even arise, it is their culture and it should be respected as it should be in the EU. But"
Should Teachers Be Allowed To Wear Religious Symbols At School?,con,"8
Banning religious symbols in the classroom discriminates against religions whose symbols are not simply adornments but constitute religious practice."
Should Teachers Be Allowed To Wear Religious Symbols At School?,pro,"10
Teachers wearing religious symbols in the classroom is protected under freedom of expression."
Should Teachers Be Allowed To Wear Religious Symbols At School?,pro,A child who is embarrassed or scared to ask about religious symbols which may be the result of such a ban would simply avert their attention to secret online googles which doesn't protect the child's thinking like the ban claims to.
Should Private Cars Be Forbidden In Large Cities?,con,"11
Cars contribute to degradation of the natural environment."
Should Private Cars Be Forbidden In Large Cities?,con,"4
Banning private cars will have negative economic effects."
Should the US adopt stricter gun control legislation?,con,"76
The US should adopt stricter gun control legislation."
Should the US adopt stricter gun control legislation?,con,"44
Stricter gun control legislation may reduce instances of gun-related injury, accidental death, murder, and suicide."
Should the US adopt stricter gun control legislation?,con,"20
Gun control measures are an effective way to limit the incidence and impact of mass shootings."
Should the US adopt stricter gun control legislation?,con,"21
Before enacting new, more effective gun control laws, the failures of current laws and regulations regarding firearms must be addressed."
Should the US adopt stricter gun control legislation?,con,"10
Gun control policies infringe on a number of rights that the US government was explicitly founded upon and has an obligation to uphold."
Is Esports a sport?,pro,"7
Esports are solely products of corporations, whereas activities qualifying as sports exist outside corporate production."
Is chivalry sexist?,pro,"8
The fact that many women appreciate chivalry proves it is not sexist."
Is there an afterlife?,con,"If [in the future] humans or [in the past or present] extraterrestrials, can digitize minds (or ""mind cloning""), it is feasible their minds continue in some form after conventional death, albeit death of the person arguably would still occur if the transition is not of a gradual form."
Is there an afterlife?,con,"1
If our world is a simulation, it is feasible that a form of life continues after life in this simulation – such as porting a person's state of mind into a new world or a reenactment of one's life in another world and so on."
Is there an afterlife?,con,"9
Partial destruction of the brain results in memory loss, cognitive impairment, loss of intelligence, loss of sense of self, or even vegetative states. Thus it is reasonable to infer that complete destruction of the brain would result in loss of all cognitive functions, capacities, faculties and abilities. This would preclude any possibility of any conscious life after death."
Is there an afterlife?,pro,"11
Evolution has been proven beyond doubt, which disproves the possibility of an afterlife. Specifically, humans evolved over time, so it is unclear why they would, at some point, suddenly have souls."
Should women-only spaces be open to anyone identifying as a woman?,pro,"33
Allowing anyone who identifies as a woman into women-only spaces would benefit both cis and trans women by improving their ability to work towards change in these spaces."
Should there be One World State?,con,"1
The formation of a one world state would lead to immense economic and material benefits."
Should there be One World State?,con,"3
The formation of a one world state would lead to an immediate reduction of conflict and violence."
Should there be One World State?,pro,"6
The formation of a one world state would solve collective action problems more effectively."
Should a license be required in order to have a child (procreate)?,pro,"2
A license should be required in order to have a child (procreate)."
Should a license be required in order to have a child (procreate)?,pro,"6
Governments are obligated to improve and maintain citizens' quality of life. Introducing parenting licenses would help facilitate this."
Should schools require students to learn a second language?,con,"5
Schools should require students to learn a second language."
Should schools require students to learn a second language?,con,"4
Learning a second language helps prepare students to live in a globalized world."
Should schools require students to learn a second language?,con,Learning a second language has long-term benefits for the brain.
Should schools require students to learn a second language?,pro,"Learning a second language at school is ineffective to achieve functional proficiency, let alone fluency."
Should schools require students to learn a second language?,con,Teaching a second language would be an unnecessary drain on school resources.
Should There Be Trigger Warnings in Education?,pro,The inclusion of trigger warnings promotes the important value of transparency.
Should There Be Trigger Warnings in Education?,pro,The inclusion of trigger warnings protects students from unnecessary harms.
Should There Be Trigger Warnings in Education?,pro,Trigger warnings allow people to ignore opinions they don't like.  This is counterproductive to civil discourse.
Should Bullfighting be Banned?,con,"14
Bullfighting functionally amounts to violence and cruelty for the purposes of entertainment, and is consequently immoral."
Should Bullfighting be Banned?,con,"16
Bullfighting can benefit national economies."
Is killing vampires immoral?,con,"As vampires are already dead, 'killing' them makes no consequential, and therefore moral, difference."
Should genealogy databases be available to law enforcement to solve crimes?,pro,"3
DNA handling by for-profit genealogy companies is subject to error, tampering and misinterpretation."
Should genealogy databases be available to law enforcement to solve crimes?,pro,"1
The Fourth Amendment protects US citizens from unreasonable search and seizure - using DNA is just this."
"Is Taylor Swift's video ""The Man"" a proper representation of men in today's society?",pro,The video depicts many forms of problematic male behavior that actually exist.
"Is Taylor Swift's video ""The Man"" a proper representation of men in today's society?",pro,"3
The suggested problematic behaviors in the video are not specific to men but are also pertaining to women."
Is Donation Charity or a Moral Obligation?,pro,The excessive accumulation of wealth in a world with many people in precarious conditions is morally problematic.
Is Donation Charity or a Moral Obligation?,con,Wealthy individuals have a shared responsibility due to the power and influence their wealth confers in society.
Is Donation Charity or a Moral Obligation?,pro,"Imprudent tries to help with donations can cause greater problems than they solve. It can be difficult to spend the money for ends or in channels that are indeed efficacious in being a net positive, especially if the selection, judgement, and so on is done by one or few people or based largely on personal opinion. More systematic approaches that also move away from the appeal to morality approach would be better."
Is Donation Charity or a Moral Obligation?,con,"Until there is effective population control, relieving famine merely postpones starvation."
Should the EU introduce a carbon tax?,pro,"1
Carbon emissions are negative externalities. Taxing negative externalities for welfare optimisation provide a welfare gain to society even before revenues are spent with the only requirement being that the implementation costs are lower than the revenues."
Should the EU introduce a carbon tax?,con,"19
Carbon emissions are the biggest contributors to climate change and their reduction should be prioritised the most in the fight against climate change."
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,pro,"7
Short term apartment leasing services such as Airbnb should be prohibited in New York City."
Should short-term apartment leasing services such as Airbnb be prohibited in New York City?,con,"38
A free market does not always shift towards the best choice for consumers or the economy, which is the case for AirBnB. As such, the government has a right and a responsibility to regulate it."
